latitude,longitude
36.726038,-119.561755
36.727248,-119.556904
36.726038,-119.561755
36.709419,-119.606167
36.726038,-119.561755
36.710536,-119.622004
36.726038,-119.561755
36.710536,-119.622004
36.755997,-119.687576
36.754623,-119.679565
36.710536,-119.622004
36.710536,-119.622004
36.759796,-119.696732
36.75099,-119.647016
36.753387,-119.668636
36.752247,-119.657943
36.749725,-119.636135
36.747482,-119.616623
36.748383,-119.624984
36.747482,-119.616623
36.741447,-119.559768
36.742657,-119.570812
36.740655,-119.552521
36.745377,-119.596825
36.7435,-119.578915
36.742657,-119.570812
36.740655,-119.552521
36.438812,-119.91972
36.432805,-119.928628
36.43625,-119.929446
36.439087,-119.920349
36.438812,-119.91972
36.433643,-119.928978
36.434967,-119.930477
36.431595,-119.931141
36.434993,-119.9319
36.434692,-119.930305
36.433685,-119.929504
36.42778,-119.940491
36.430478,-119.94499
36.435333,-119.938202
36.430571,-119.940666
36.428011,-119.940608
36.437926,-119.934238
36.435333,-119.938202
36.437926,-119.934238
36.581261,-119.865456
36.450211,-119.911995
36.450211,-119.911995
36.583054,-119.86433
36.581261,-119.865456
36.581261,-119.865456
36.581261,-119.865456
36.581261,-119.865456
36.581261,-119.865456
36.581261,-119.865456
36.488068,-119.924698
36.503403,-119.915199
36.498072,-119.91846
36.521813,-119.903909
36.511276,-119.910278
36.477542,-119.931082
36.444257,-119.952587
36.472549,-119.934254
36.46376,-119.939575
36.46376,-119.939575
36.454359,-119.945516
36.444257,-119.952587
36.446166,-119.951302
36.425124,-119.964976
36.392305,-119.984553
36.414743,-119.971463
36.406311,-119.976311
36.399445,-119.980373
36.381454,-119.990788
36.37619,-119.993649
36.358841,-120.003548
36.34161,-120.013655
36.350006,-120.00864
36.318287,-120.026745
36.318287,-120.026745
36.36847,-119.998169
36.328156,-120.021544
36.328156,-120.021544
36.333696,-120.018447
36.300934,-120.036678
36.273131,-120.052984
36.296722,-120.039024
36.273131,-120.052984
36.273131,-120.052984
36.296722,-120.039024
36.276627,-120.050869
36.273131,-120.052984
36.046329,-120.169626
36.044234,-120.17097
36.044234,-120.17097
36.044234,-120.17097
36.044234,-120.17097
36.044234,-120.17097
36.044234,-120.17097
36.044234,-120.17097
36.044234,-120.17097
36.235016,-120.211086
36.23859,-120.217896
36.49323,-120.18108
36.23859,-120.217896
36.49323,-120.18108
36.49323,-120.18108
36.49323,-120.18108
36.49323,-120.18108
36.49323,-120.18108
36.49323,-120.18108
36.49323,-120.18108
33.616699,-117.13965
33.610297,-117.136574
33.643256,-117.147617
33.624076,-117.142467
33.633133,-117.145143
33.633133,-117.145143
33.668487,-117.152252
33.654053,-117.149739
33.654053,-117.149739
33.68506,-117.154026
33.679504,-117.153214
33.703541,-117.159233
33.724117,-117.164211
33.694184,-117.1562
33.711036,-117.161236
33.737411,-117.165938
33.731918,-117.165378
33.783966,-117.195478
33.748976,-117.169132
33.763824,-117.177822
33.773254,-117.185557
33.757635,-117.173195
33.773254,-117.185557
33.77916,-117.190433
33.790873,-117.202606
33.836354,-117.245064
33.79715,-117.210164
33.807632,-117.222977
33.825211,-117.236957
33.80158,-117.216225
33.812194,-117.227211
33.822006,-117.234659
33.842422,-117.249457
33.842422,-117.249457
33.861306,-117.260513
33.852974,-117.255936
33.894104,-117.278044
33.868973,-117.264591
33.884722,-117.272587
33.874786,-117.267338
33.884722,-117.272587
33.916397,-117.291889
33.90889,-117.287685
33.901807,-117.283001
33.928016,-117.298279
33.955482,-117.314587
33.928016,-117.298279
33.94281,-117.306463
33.935604,-117.302341
33.948303,-117.309826
33.963582,-117.320137
33.965012,-117.321148
34.049606,-117.369073
33.979614,-117.332135
33.979614,-117.332135
34.043605,-117.366486
34.059759,-117.373123
33.975769,-117.32922
33.979614,-117.332135
34.066956,-117.375519
34.0916,-117.383995
34.079776,-117.380047
34.086386,-117.382221
34.107428,-117.3876
34.073724,-117.37793
34.086386,-117.382221
34.0916,-117.383995
34.107428,-117.3876
34.140434,-117.390003
34.119141,-117.388412
34.140434,-117.390003
34.14917,-117.39071
34.126144,-117.389252
34.134428,-117.389889
34.154205,-117.391326
34.197926,-117.402363
34.171763,-117.39418
34.1868,-117.397957
34.190186,-117.398949
34.211563,-117.411673
34.215088,-117.414308
34.215088,-117.414308
33.594981,-117.126503
34.211193,-117.411404
34.163406,-117.392503
34.17856,-117.396069
34.197926,-117.402363
34.207352,-117.408591
34.215088,-117.414308
34.215088,-117.414308
33.592281,-117.125359
34.211193,-117.411404
33.686783,-117.154952
33.594981,-117.126503
34.211193,-117.411404
34.636322,-117.849837
33.686783,-117.154952
34.586125,-117.78614
34.602585,-117.806284
34.618572,-117.825108
34.632568,-117.844344
33.686783,-117.154952
34.599252,-117.802563
34.610704,-117.815495
34.626022,-117.835152
